,Name,huc4
42,011_240L,1702
43,011_240R,1701
43,011_240R,1702
44,011_241L,1702
45,011_241R,1701
45,011_241R,1702
46,011_242L,1702
47,011_242R,1701
47,011_242R,1702
48,011_243L,1702
49,011_243R,1701
49,011_243R,1702
50,011_244L,1701
50,011_244L,1702
51,011_244R,1701
51,011_244R,1702
52,011_245L,1701
52,011_245L,1702
53,011_245R,1701
53,011_245R,1702
54,011_246L,1702
55,011_246R,1702
80,020_075L,0429
80,020_075L,0430
81,020_075R,0429
82,020_076L,0429
82,020_076L,0430
83,020_076R,0429
84,020_077L,0202
84,020_077L,0414
84,020_077L,0429
84,020_077L,0430
85,020_077R,0414
85,020_077R,0429
86,020_078L,0202
86,020_078L,0414
86,020_078L,0429
86,020_078L,0430
87,020_078R,0202
87,020_078R,0414
87,020_078R,0429
88,020_079L,0202
88,020_079L,0430
89,020_079R,0205
89,020_079R,0202
90,020_080L,0110
90,020_080L,0202
91,020_080R,0204
91,020_080R,0205
91,020_080R,0202
92,020_081L,0110
92,020_081L,0202
93,020_081R,0204
93,020_081R,0202
94,020_082L,0203
94,020_082L,0110
94,020_082L,0202
95,020_082R,0204
95,020_082R,0203
95,020_082R,0202
96,020_083L,0203
96,020_083L,0110
97,020_083R,0204
97,020_083R,0203
97,020_083R,0110
85,022_065R,0901
86,022_066L,0901
87,022_066R,0901
88,022_067L,0901
89,022_067R,0901
90,022_068L,0901
91,022_068R,1011
91,022_068R,0901
92,022_069L,1011
92,022_069L,0901
93,022_069R,1011
93,022_069R,0901
94,022_070L,1011
94,022_070L,0901
95,022_070R,1011
96,022_071L,1013
96,022_071L,1011
97,022_071R,1013
97,022_071R,1011
98,022_072L,1013
99,022_072R,1013
100,022_073L,1013
101,022_073R,1013
102,022_074L,1013
103,022_074R,1013
104,022_075L,1013
105,022_075R,1012
105,022_075R,1013
106,022_076L,1014
106,022_076L,1013
107,022_076R,1014
107,022_076R,1012
107,022_076R,1013
108,022_077L,1014
109,022_077R,1014
110,022_078L,1015
110,022_078L,1014
111,022_078R,1015
111,022_078R,1014
112,022_079L,1015
112,022_079L,1014
112,022_079L,1017
113,022_079R,1021
113,022_079R,1015
113,022_079R,1014
114,022_080L,1022
114,022_080L,1021
114,022_080L,1015
115,022_080R,1021
115,022_080R,1015
116,022_081L,1022
116,022_081L,1021
117,022_081R,1020
117,022_081R,1021
118,022_082L,1020
118,022_082L,1021
119,022_082R,1020
119,022_082R,1021
120,022_083L,1025
120,022_083L,1027
120,022_083L,1020
120,022_083L,1021
121,022_083R,1025
121,022_083R,1020
122,022_084L,1026
122,022_084L,1025
122,022_084L,1027
122,022_084L,1020
123,022_084R,1026
123,022_084R,1025
124,022_085L,1026
124,022_085L,1025
125,022_085R,1026
126,022_086L,1026
127,022_086R,1026
128,022_087L,1103
128,022_087L,1026
129,022_087R,1103
129,022_087R,1026
130,022_088L,1103
131,022_088R,1103
131,022_088R,1106
132,022_089L,1103
132,022_089L,1106
133,022_089R,1105
133,022_089R,1103
133,022_089R,1106
134,022_090L,1105
134,022_090L,1106
135,022_090R,1105
135,022_090R,1106
136,022_091L,1105
136,022_091L,1106
137,022_091R,1105
137,022_091R,1109
137,022_091R,1110
138,022_092L,1105
138,022_092L,1109
138,022_092L,1110
139,022_092R,1105
139,022_092R,1113
139,022_092R,1109
139,022_092R,1110
140,022_093L,1113
140,022_093L,1109
140,022_093L,1110
141,022_093R,1113
141,022_093R,1109
142,022_094L,1113
142,022_094L,1109
143,022_094R,1113
144,022_095L,1203
144,022_095L,1113
145,022_095R,1203
145,022_095R,1113
146,022_096L,1203
146,022_096L,1113
147,022_096R,1203
147,022_096R,1206
147,022_096R,1113
148,022_097L,1203
149,022_097R,1203
149,022_097R,1206
150,022_098L,1203
150,022_098L,1206
151,022_098R,1203
151,022_098R,1206
152,022_099L,1207
152,022_099L,1203
152,022_099L,1206
153,022_099R,1207
153,022_099R,1206
154,022_100L,1207
155,022_100R,1207
156,022_101L,1207
157,022_101R,1207
157,022_101R,1209
158,022_102L,1207
158,022_102L,1209
159,022_102R,1210
159,022_102R,1207
159,022_102R,1209
160,022_103L,1210
160,022_103L,1207
160,022_103L,1209
161,022_103R,1210
161,022_103R,1209
162,022_104L,1210
162,022_104L,1209
163,022_104R,1210
164,022_105L,1210
164,022_105L,1209
165,022_105R,1210
40,035_226L,0203
41,035_226R,0203
42,035_227L,0203
42,035_227L,0110
42,035_227L,0108
43,035_227R,0203
43,035_227R,0110
43,035_227R,0109
44,035_228L,0110
44,035_228L,0109
44,035_228L,0108
45,035_228R,0110
45,035_228R,0109
46,035_229L,0110
46,035_229L,0109
46,035_229L,0107
46,035_229L,0108
47,035_229R,0109
47,035_229R,0107
48,035_230L,0107
48,035_230L,0108
48,035_230L,0106
49,035_230R,0109
49,035_230R,0107
49,035_230R,0106
50,035_231L,0107
50,035_231L,0108
50,035_231L,0106
51,035_231R,0107
51,035_231R,0106
52,035_232L,0107
52,035_232L,0108
52,035_232L,0106
52,035_232L,0104
53,035_232R,0106
53,035_232R,0104
54,035_233L,0108
54,035_233L,0104
55,035_233R,0106
55,035_233R,0104
55,035_233R,0103
56,035_234L,0108
56,035_234L,0104
56,035_234L,0430
56,035_234L,0103
56,035_234L,0431
57,035_234R,0104
57,035_234R,0103
57,035_234R,0102
58,035_235L,0430
58,035_235L,0103
58,035_235L,0102
58,035_235L,0431
59,035_235R,0103
59,035_235R,0102
59,035_235R,0431
60,035_236L,0102
60,035_236L,0431
60,035_236L,0101
61,035_236R,0103
61,035_236R,0102
61,035_236R,0101
62,035_237L,0101
63,035_237R,0102
63,035_237R,0101
64,035_238L,0101
65,035_238R,0101
67,035_239R,0101
69,035_240R,0101
20,037_200L,1312
21,037_200R,1312
21,037_200R,1311
22,037_201L,1312
22,037_201L,1311
23,037_201R,1312
23,037_201R,1311
24,037_202L,1311
25,037_202R,1311
26,037_203L,1311
27,037_203R,1311
28,037_204L,1311
28,037_204L,1308
29,037_204R,1311
29,037_204R,1308
30,037_205L,1311
30,037_205L,1308
30,037_205L,1304
31,037_205R,1211
31,037_205R,1308
32,037_206L,1308
32,037_206L,1304
32,037_206L,1307
33,037_206R,1211
33,037_206R,1308
33,037_206R,1304
34,037_207L,1304
34,037_207L,1307
35,037_207R,1211
35,037_207R,1308
35,037_207R,1304
35,037_207R,1209
36,037_208L,1304
36,037_208L,1307
37,037_208R,1304
37,037_208R,1209
38,037_209L,1304
38,037_209L,1209
38,037_209L,1307
39,037_209R,1304
39,037_209R,1209
40,037_210L,1209
40,037_210L,1208
41,037_210R,1209
41,037_210R,1208
42,037_211L,1206
42,037_211L,1208
43,037_211R,1209
43,037_211R,1206
43,037_211R,1208
44,037_212L,1206
44,037_212L,1208
44,037_212L,1205
45,037_212R,1206
45,037_212R,1205
46,037_213L,1206
46,037_213L,1205
46,037_213L,1113
47,037_213R,1206
47,037_213R,1205
47,037_213R,1113
48,037_214L,1113
49,037_214R,1206
49,037_214R,1113
50,037_215L,1113
50,037_215L,1112
51,037_215R,1113
51,037_215R,1112
52,037_216L,1112
53,037_216R,1113
53,037_216R,1112
54,037_217L,1113
54,037_217L,1112
54,037_217L,1109
55,037_217R,1113
55,037_217R,1112
55,037_217R,1109
56,037_218L,1109
56,037_218L,1110
57,037_218R,1105
57,037_218R,1113
57,037_218R,1109
57,037_218R,1110
58,037_219L,1105
58,037_219L,1110
58,037_219L,1104
58,037_219L,1106
59,037_219R,1105
59,037_219R,1110
59,037_219R,1106
60,037_220L,1105
60,037_220L,1104
60,037_220L,1103
60,037_220L,1106
61,037_220R,1103
61,037_220R,1106
62,037_221L,1103
62,037_221L,1106
63,037_221R,1103
63,037_221R,1106
64,037_222L,1103
64,037_222L,1026
65,037_222R,1103
65,037_222R,1026
66,037_223L,1026
67,037_223R,1026
68,037_224L,1026
68,037_224L,1025
69,037_224R,1026
69,037_224R,1025
70,037_225L,1026
70,037_225L,1025
70,037_225L,1027
71,037_225R,1025
71,037_225R,1027
72,037_226L,1027
72,037_226L,1020
72,037_226L,1021
73,037_226R,1027
74,037_227L,1027
74,037_227L,1020
74,037_227L,1021
75,037_227R,1027
75,037_227R,1020
75,037_227R,1021
76,037_228L,1020
76,037_228L,1022
76,037_228L,1021
77,037_228R,1020
77,037_228R,1022
77,037_228R,1021
78,037_229L,1022
78,037_229L,1015
78,037_229L,1017
79,037_229R,1022
79,037_229R,1023
79,037_229R,1017
80,037_230L,1017
80,037_230L,1016
81,037_230R,1017
81,037_230R,1016
82,037_231L,1017
82,037_231L,1016
83,037_231R,1017
84,037_232L,1017
84,037_232L,1016
85,037_232R,0710
85,037_232R,1017
85,037_232R,0702
86,037_233L,1017
86,037_233L,0702
87,037_233R,1017
87,037_233R,0702
88,037_234L,1017
88,037_234L,0702
89,037_234R,0702
90,037_235L,0702
90,037_235L,0902
91,037_235R,0702
91,037_235R,0701
91,037_235R,0902
92,037_236L,0902
93,037_236R,0702
93,037_236R,0701
93,037_236R,0902
94,037_237L,0902
95,037_237R,0701
95,037_237R,0902
96,037_238L,0902
97,037_238R,0701
97,037_238R,0902
98,037_239L,0902
99,037_239R,0701
99,037_239R,0902
100,037_240L,0902
100,037_240L,0903
101,037_240R,0902
101,037_240R,0903
102,037_241L,0902
102,037_241L,0903
103,037_241R,0903
104,037_242L,0903
105,037_242R,0903
107,037_243R,0903
1,039_223R,1801
3,039_224R,1801
4,039_225L,1801
5,039_225R,1801
6,039_226L,1801
7,039_226R,1801
8,039_227L,1801
9,039_227R,1801
10,039_228L,1801
10,039_228L,1710
11,039_228R,1801
11,039_228R,1710
12,039_229L,1710
13,039_229R,1801
13,039_229R,1710
14,039_230L,1710
15,039_230R,1710
16,039_231L,1709
16,039_231L,1710
17,039_231R,1709
17,039_231R,1710
18,039_232L,1709
18,039_232L,1710
19,039_232R,1709
20,039_233L,1709
21,039_233R,1709
21,039_233R,1707
22,039_234L,1709
22,039_234L,1708
23,039_234R,1709
23,039_234R,1707
23,039_234R,1708
24,039_235L,1709
24,039_235L,1708
25,039_235R,1707
25,039_235R,1708
26,039_236L,1710
26,039_236L,1708
27,039_236R,1707
27,039_236R,1708
27,039_236R,1703
28,039_237L,1710
28,039_237L,1708
28,039_237L,1711
29,039_237R,1707
29,039_237R,1708
29,039_237R,1703
29,039_237R,1711
30,039_238L,1711
31,039_238R,1703
31,039_238R,1711
31,039_238R,1702
32,039_239L,1711
33,039_239R,1711
33,039_239R,1702
34,039_240L,1711
34,039_240L,1702
35,039_240R,1711
35,039_240R,1702
36,039_241L,1711
36,039_241L,1702
37,039_241R,1711
37,039_241R,1702
38,039_242L,1702
39,039_242R,1702
40,039_243L,1702
41,039_243R,1702
43,039_244R,1702
47,039_246R,1702
48,039_247L,1702
49,039_247R,1702
50,039_248L,1702
51,039_248R,1702
79,048_074R,0427
79,048_074R,0422
80,048_075L,0427
81,048_075R,0427
82,048_076L,0427
82,048_076L,0429
83,048_076R,0427
84,048_077L,0427
84,048_077L,0429
85,048_077R,0427
86,048_078L,0414
87,048_078R,0413
87,048_078R,0414
88,048_079L,0205
88,048_079L,0414
89,048_079R,0205
89,048_079R,0413
89,048_079R,0414
90,048_080L,0205
90,048_080L,0414
91,048_080R,0205
91,048_080R,0414
92,048_081L,0205
93,048_081R,0205
94,048_082L,0204
94,048_082L,0205
95,048_082R,0205
96,048_083L,0204
96,048_083L,0205
97,048_083R,0204
97,048_083R,0205
98,048_084L,0204
98,048_084L,0205
99,048_084R,0206
99,048_084R,0204
99,048_084R,0205
100,048_085L,0206
100,048_085L,0204
101,048_085R,0206
101,048_085R,0204
101,048_085R,0205
102,048_086L,0208
102,048_086L,0206
102,048_086L,0204
103,048_086R,0208
103,048_086R,0206
103,048_086R,0204
104,048_087L,0208
104,048_087L,0204
105,048_087R,0208
105,048_087R,0206
106,048_088L,0208
106,048_088L,0204
107,048_088R,0208
107,048_088R,0204
86,050_067L,1006
86,050_067L,0901
87,050_067R,1006
88,050_068L,1006
88,050_068L,0901
89,050_068R,1006
90,050_069L,1011
90,050_069L,1006
91,050_069R,1006
92,050_070L,1010
92,050_070L,1011
92,050_070L,1006
93,050_070R,1010
93,050_070R,1006
94,050_071L,1010
94,050_071L,1011
95,050_071R,1010
95,050_071R,1006
96,050_072L,1013
96,050_072L,1010
96,050_072L,1011
97,050_072R,1010
97,050_072R,1011
98,050_073L,1013
98,050_073L,1011
99,050_073R,1010
99,050_073R,1011
100,050_074L,1013
100,050_074L,1011
101,050_074R,1013
101,050_074R,1011
102,050_075L,1012
102,050_075L,1013
103,050_075R,1012
103,050_075R,1013
103,050_075R,1011
104,050_076L,1012
104,050_076L,1013
105,050_076R,1012
106,050_077L,1014
106,050_077L,1012
107,050_077R,1012
108,050_078L,1014
108,050_078L,1012
109,050_078R,1014
109,050_078R,1012
110,050_079L,1015
110,050_079L,1014
111,050_079R,1015
111,050_079R,1014
111,050_079R,1012
112,050_080L,1021
112,050_080L,1015
113,050_080R,1018
113,050_080R,1015
114,050_081L,1021
114,050_081L,1018
114,050_081L,1015
115,050_081R,1018
115,050_081R,1015
116,050_082L,1025
116,050_082L,1019
116,050_082L,1021
116,050_082L,1018
117,050_082R,1019
117,050_082R,1018
118,050_083L,1025
118,050_083L,1019
119,050_083R,1025
119,050_083R,1019
120,050_084L,1025
121,050_084R,1025
122,050_085L,1026
122,050_085L,1025
123,050_085R,1026
123,050_085R,1025
124,050_086L,1026
124,050_086L,1025
125,050_086R,1103
125,050_086R,1026
125,050_086R,1025
126,050_087L,1103
126,050_087L,1026
127,050_087R,1103
127,050_087R,1026
128,050_088L,1104
128,050_088L,1103
129,050_088R,1104
129,050_088R,1103
130,050_089L,1104
130,050_089L,1103
131,050_089R,1110
131,050_089R,1104
132,050_090L,1110
132,050_090L,1104
133,050_090R,1110
133,050_090R,1104
134,050_091L,1109
134,050_091L,1110
135,050_091R,1109
135,050_091R,1110
136,050_092L,1113
136,050_092L,1112
136,050_092L,1109
137,050_092R,1113
137,050_092R,1112
137,050_092R,1109
138,050_093L,1113
138,050_093L,1112
139,050_093R,1112
140,050_094L,1113
140,050_094L,1112
141,050_094R,1113
141,050_094R,1112
142,050_095L,1113
143,050_095R,1205
143,050_095R,1113
144,050_096L,1206
144,050_096L,1205
144,050_096L,1113
145,050_096R,1206
145,050_096R,1205
145,050_096R,1113
146,050_097L,1206
147,050_097R,1206
147,050_097R,1205
148,050_098L,1207
148,050_098L,1209
148,050_098L,1206
149,050_098R,1209
149,050_098R,1206
149,050_098R,1208
150,050_099L,1209
151,050_099R,1209
151,050_099R,1208
152,050_100L,1209
153,050_100R,1209
154,050_101L,1209
155,050_101R,1210
155,050_101R,1209
156,050_102L,1210
156,050_102L,1209
157,050_102R,1211
157,050_102R,1210
157,050_102R,1209
158,050_103L,1211
158,050_103L,1210
159,050_103R,1211
159,050_103R,1210
