/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3050.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3044.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3045.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3048.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3043.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3016.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3068.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3051.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3049.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3061.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3058.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3001.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3055.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3056.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3054.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3003.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3005.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3006.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3004.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3007.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3060.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3072.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3078.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3062.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3065.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3076.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3080.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3075.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3069.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3071.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3084.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3074.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3070.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3067.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3077.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3073.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3079.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3086.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3085.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3021.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3020.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3017.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3019.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3018.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3022.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3038.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3039.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3040.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3103.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3104.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3102.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3101.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3099.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3116.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3117.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3118.log:7:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3114.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3106.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3108.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3107.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3105.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3110.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3112.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3111.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3109.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3113.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3134.log:4:This granule has no pixels after masking, exiting.
