,old_slurm_index,slurm_index,index,files,cycle,pass,tile,version,counter
2822,5023,2822,8855,SWOT_L2_HR_PIXC_018_548_078R_20240729T113431_20240729T113432_PIC0_01.nc,18,548,078R,PIC0,1
2823,5024,2823,8859,SWOT_L2_HR_PIXC_019_007_232L_20240731T005234_20240731T005238_PIC0_02.nc,19,7,232L,PIC0,2
2824,5025,2824,8857,SWOT_L2_HR_PIXC_019_007_232R_20240731T005234_20240731T005238_PIC0_02.nc,19,7,232R,PIC0,2
2825,5026,2825,8862,SWOT_L2_HR_PIXC_019_007_233L_20240731T005237_20240731T005248_PIC0_02.nc,19,7,233L,PIC0,2
2826,5027,2826,8861,SWOT_L2_HR_PIXC_019_007_233R_20240731T005237_20240731T005248_PIC0_02.nc,19,7,233R,PIC0,2
2827,5028,2827,8867,SWOT_L2_HR_PIXC_019_007_234L_20240731T005247_20240731T005258_PIC0_02.nc,19,7,234L,PIC0,2
2828,5029,2828,8864,SWOT_L2_HR_PIXC_019_007_234R_20240731T005247_20240731T005258_PIC0_02.nc,19,7,234R,PIC0,2
2829,5030,2829,8871,SWOT_L2_HR_PIXC_019_007_235L_20240731T005257_20240731T005308_PIC0_02.nc,19,7,235L,PIC0,2
2830,5031,2830,8869,SWOT_L2_HR_PIXC_019_007_235R_20240731T005257_20240731T005308_PIC0_02.nc,19,7,235R,PIC0,2
2831,5032,2831,8874,SWOT_L2_HR_PIXC_019_007_236L_20240731T005307_20240731T005318_PIC0_02.nc,19,7,236L,PIC0,2
2832,5034,2832,8879,SWOT_L2_HR_PIXC_019_007_237L_20240731T005317_20240731T005328_PIC0_02.nc,19,7,237L,PIC0,2
2833,5036,2833,8883,SWOT_L2_HR_PIXC_019_007_238L_20240731T005327_20240731T005338_PIC0_02.nc,19,7,238L,PIC0,2
2834,5038,2834,8887,SWOT_L2_HR_PIXC_019_007_239L_20240731T005337_20240731T005348_PIC0_02.nc,19,7,239L,PIC0,2
2835,5041,2835,8891,SWOT_L2_HR_PIXC_019_020_078L_20240731T113533_20240731T113544_PIC0_02.nc,19,20,078L,PIC0,2
2836,5042,2836,8894,SWOT_L2_HR_PIXC_019_020_079L_20240731T113543_20240731T113554_PIC0_02.nc,19,20,079L,PIC0,2
2837,5043,2837,8895,SWOT_L2_HR_PIXC_019_020_080L_20240731T113553_20240731T113604_PIC0_02.nc,19,20,080L,PIC0,2
2838,5044,2838,8897,SWOT_L2_HR_PIXC_019_020_081L_20240731T113603_20240731T113614_PIC0_02.nc,19,20,081L,PIC0,2
2839,5045,2839,8900,SWOT_L2_HR_PIXC_019_020_082L_20240731T113613_20240731T113624_PIC0_02.nc,19,20,082L,PIC0,2
2840,5046,2840,8899,SWOT_L2_HR_PIXC_019_020_082R_20240731T113613_20240731T113624_PIC0_02.nc,19,20,082R,PIC0,2
2841,5047,2841,8905,SWOT_L2_HR_PIXC_019_020_083L_20240731T113623_20240731T113631_PIC0_02.nc,19,20,083L,PIC0,2
2842,5048,2842,8904,SWOT_L2_HR_PIXC_019_020_083R_20240731T113623_20240731T113631_PIC0_02.nc,19,20,083R,PIC0,2
2843,5049,2843,8909,SWOT_L2_HR_PIXC_019_035_227L_20240801T005213_20240801T005219_PIC0_02.nc,19,35,227L,PIC0,2
2844,5050,2844,8907,SWOT_L2_HR_PIXC_019_035_227R_20240801T005213_20240801T005219_PIC0_02.nc,19,35,227R,PIC0,2
2845,5051,2845,8913,SWOT_L2_HR_PIXC_019_035_228L_20240801T005218_20240801T005229_PIC0_02.nc,19,35,228L,PIC0,2
2846,5052,2846,8912,SWOT_L2_HR_PIXC_019_035_228R_20240801T005218_20240801T005229_PIC0_02.nc,19,35,228R,PIC0,2
2847,5053,2847,8917,SWOT_L2_HR_PIXC_019_035_229L_20240801T005228_20240801T005239_PIC0_02.nc,19,35,229L,PIC0,2
2848,5054,2848,8915,SWOT_L2_HR_PIXC_019_035_229R_20240801T005228_20240801T005239_PIC0_02.nc,19,35,229R,PIC0,2
2849,5055,2849,8921,SWOT_L2_HR_PIXC_019_035_230L_20240801T005238_20240801T005249_PIC0_02.nc,19,35,230L,PIC0,2
2850,5056,2850,8919,SWOT_L2_HR_PIXC_019_035_230R_20240801T005238_20240801T005249_PIC0_02.nc,19,35,230R,PIC0,2
2851,5057,2851,8925,SWOT_L2_HR_PIXC_019_035_231L_20240801T005248_20240801T005259_PIC0_02.nc,19,35,231L,PIC0,2
2852,5058,2852,8923,SWOT_L2_HR_PIXC_019_035_231R_20240801T005248_20240801T005259_PIC0_02.nc,19,35,231R,PIC0,2
2853,5059,2853,8929,SWOT_L2_HR_PIXC_019_035_232L_20240801T005258_20240801T005309_PIC0_02.nc,19,35,232L,PIC0,2
2854,5060,2854,8927,SWOT_L2_HR_PIXC_019_035_232R_20240801T005258_20240801T005309_PIC0_02.nc,19,35,232R,PIC0,2
2855,5061,2855,8933,SWOT_L2_HR_PIXC_019_035_233L_20240801T005308_20240801T005319_PIC0_02.nc,19,35,233L,PIC0,2
2856,5062,2856,8931,SWOT_L2_HR_PIXC_019_035_233R_20240801T005308_20240801T005319_PIC0_02.nc,19,35,233R,PIC0,2
2857,5063,2857,8936,SWOT_L2_HR_PIXC_019_035_234L_20240801T005318_20240801T005329_PIC0_02.nc,19,35,234L,PIC0,2
2858,5064,2858,8935,SWOT_L2_HR_PIXC_019_035_234R_20240801T005318_20240801T005329_PIC0_02.nc,19,35,234R,PIC0,2
2859,5065,2859,8941,SWOT_L2_HR_PIXC_019_035_235L_20240801T005328_20240801T005339_PIC0_02.nc,19,35,235L,PIC0,2
2860,5066,2860,8939,SWOT_L2_HR_PIXC_019_035_235R_20240801T005328_20240801T005339_PIC0_02.nc,19,35,235R,PIC0,2
2861,5068,2861,8943,SWOT_L2_HR_PIXC_019_035_236R_20240801T005338_20240801T005349_PIC0_02.nc,19,35,236R,PIC0,2
2862,5070,2862,8946,SWOT_L2_HR_PIXC_019_035_237R_20240801T005348_20240801T005359_PIC0_02.nc,19,35,237R,PIC0,2
2863,5071,2863,8953,SWOT_L2_HR_PIXC_019_035_238L_20240801T005358_20240801T005409_PIC0_02.nc,19,35,238L,PIC0,2
2864,5072,2864,8951,SWOT_L2_HR_PIXC_019_035_238R_20240801T005358_20240801T005409_PIC0_02.nc,19,35,238R,PIC0,2
2865,5076,2865,8960,SWOT_L2_HR_PIXC_019_063_226R_20240802T005229_20240802T005240_PIC0_01.nc,19,63,226R,PIC0,1
2866,5077,2866,8961,SWOT_L2_HR_PIXC_019_063_227R_20240802T005239_20240802T005250_PIC0_01.nc,19,63,227R,PIC0,1
2867,5078,2867,8962,SWOT_L2_HR_PIXC_019_063_228R_20240802T005249_20240802T005300_PIC0_01.nc,19,63,228R,PIC0,1
2868,5079,2868,8963,SWOT_L2_HR_PIXC_019_063_229R_20240802T005259_20240802T005310_PIC0_01.nc,19,63,229R,PIC0,1
2869,5080,2869,8964,SWOT_L2_HR_PIXC_019_063_230R_20240802T005309_20240802T005320_PIC0_01.nc,19,63,230R,PIC0,1
2870,5081,2870,8966,SWOT_L2_HR_PIXC_019_063_231L_20240802T005319_20240802T005330_PIC0_01.nc,19,63,231L,PIC0,1
2871,5082,2871,8965,SWOT_L2_HR_PIXC_019_063_231R_20240802T005319_20240802T005330_PIC0_01.nc,19,63,231R,PIC0,1
2872,5083,2872,8968,SWOT_L2_HR_PIXC_019_063_232L_20240802T005329_20240802T005340_PIC0_01.nc,19,63,232L,PIC0,1
2873,5084,2873,8967,SWOT_L2_HR_PIXC_019_063_232R_20240802T005329_20240802T005340_PIC0_01.nc,19,63,232R,PIC0,1
2874,5085,2874,8970,SWOT_L2_HR_PIXC_019_063_233L_20240802T005339_20240802T005350_PIC0_01.nc,19,63,233L,PIC0,1
2875,5086,2875,8969,SWOT_L2_HR_PIXC_019_063_233R_20240802T005339_20240802T005350_PIC0_01.nc,19,63,233R,PIC0,1
2876,5087,2876,8972,SWOT_L2_HR_PIXC_019_063_234L_20240802T005349_20240802T005400_PIC0_01.nc,19,63,234L,PIC0,1
2877,5088,2877,8971,SWOT_L2_HR_PIXC_019_063_234R_20240802T005349_20240802T005400_PIC0_01.nc,19,63,234R,PIC0,1
2878,5091,2878,8976,SWOT_L2_HR_PIXC_019_063_236L_20240802T005409_20240802T005420_PIC0_01.nc,19,63,236L,PIC0,1
2879,5094,2879,8977,SWOT_L2_HR_PIXC_019_063_237R_20240802T005419_20240802T005430_PIC0_01.nc,19,63,237R,PIC0,1
